League,Team A,Team B,Status,Score,Time
كأس العالم للأندية,مانشستر سيتي,الهلال,انتهت,3 - 4,04:00
كأس العالم للأندية,ريال مدريد,يوفنتوس,انتهت,1 - 0,22:00
